Hon Abdul Haro Ibrahim, Mandera South Constituency
Hon Michael Wainaina, Othaya Constituency
Hon Mohamed Hussein Abdekadir, Mandera Central Constituency
Hon Moroto Samuel, Kapenguria Constituency
Hon Mpuru Aburi, Tigania East Constituency
Hon Mumina Bonaya, Women Rep Isiolo County
Hon Mwafrika Kamande, Roysambu Constituency
Hon Mwangi Kiunjuri, Laikipia East Constituency
Hon Mwengi Mutuse, Kibwezi West Constituency
Hon Naomi Waqo, Women Rep Marsabit County
Hon Ndindi Nyoro, Kiharu Constituency
Hon Nimrod Mbai, Kitui East Constituency
Hon Njoroge Wainaina, Kieni Constituency
Hon Onesmus Ngogoyo, Kajiado North Constituency
Hon Omboko Milemba, Emuhaya Constituency
Hon Oscar Sudi, Kapsaret Constituency
Hon Owen Baya, Kilifi North Constituency
Hon Pauline Lenguris, Women Rep Samburu County
Hon Patrick Ntwiga, Chuka Igambang’ombe Constituency
Hon Peter Irungu, Kangema Constituency
Hon Peter Lochakapong, Sigor Constituency
Hon Peter Oscar Nabulindo, Matungu Constituency
Hon Protus Akuja, Loima Constituency
Hon Rahab Mukami, Women Rep Nyeri County
Hon Rahim Dawood, North Imenti Constituency
Hon Rael Chepkemoi, Women Rep West Pokot County
Hon Rebecca Tonkei, Women Rep Narok County
Hon Richard Cheruiyot, Bomet Central
Hon Rindikiri Mugambi, Buuri Constituency
Hon Robert Pukose, Endebess Constituency
Hon Ronald Karauri, Kasarani Constituency
Hon Ruweida Obo, Lamu East Constituency
Hon Rachael Nyamai, Kitui South Constituency
Hon Samuel Arama, Nakuru Town West Constituency
Hon Samuel Chepkonga, Ainabkoi Constituency
Hon Samuel Gachobe, Subukia Constituency
Hon Sarah Korere, Laikipia North Constituency
Hon Sheikh Bashir Abdullahi, Mandera North
Hon Silvanus Osoro, South Mugirango Constituency
Hon Simon Kingara, Ruiru Constituency
Hon Stanley Muthama, Lamu West Constituency
Hon Stephen Wachira Karani, Laikipia West Constituency
Hon Sunkuiya George, Kajiado West Constituency
Hon Talib Abubakar Ahmed, Nominated MP
Hon Titus Lotee, Kapcheliba Constituency
Hon Tungule Charo Kazungu, Ganze Constituency
Hon Umul kher Kassim, Women Rep Mandera County
Hon Victor Koech, Chepalungu Constituency
Hon Waithaka John, Kiambu Constituency
Hon Wamaua Njoroge, Maragua Constituency
Hon Wamuratha Wanjiku, Women Rep Kiambu County
Hon Wamacukuru James, Kabete Constituency
Hon William Kamket, Tiaty Constituency
Hon Yegon Richard, Bomet East
Hon Yusuf Adan Haji, Mandera West Constituency
Hon Zaheer Jhanda, Nyaribari Chache Constituency
